percent,﻿Salary,Work_Type,Company_Size,Role,Company
100.0,47200,стажер,26801,менеджер по социальным сетям,Icahn Enterprises
95.0,44800,Стажер,100340,Фронтенд веб-разработчик, PNC Financial Services Group
113.0,48800,временный,84525,менеджер по контролю качества,United Services Automobile Assn.
118.0,52000,полный рабочий день,129896,инженер беспроводной сети,Hess
108.0,51200,стажер,53944,менеджер по проведению конференций,Cairn Energy
103.0,47200,Полная занятость,23196,Аналитик по обеспечению качества,Adani Ports and Special Economic Zone
107.0,50400,временная,26119,классный руководитель,FedEx
113.0,52000,контракт,40558,дизайнер пользовательского интерфейса,Ryder System
110.0,52000,Временная,105343,Дизайнер интерфейсов,Zee Entertainment Enterprises
109.0,48000,полный рабочий день,102069,свадебный консультант,CSX
99.0,45600,контракт,130338,специалист по тестированию производительности,Вкусно и точка
111.0,51200,контракт,117285,адвокат по семейному праву,TPG Telecom
111.0,52000,неполный рабочий день,79071,инженер-механик,ThyssenKrupp AG
95.0,44800,временная,127900,аналитик по сетевой безопасности,EnLink Midstream
104.0,45600,полный рабочий день,92128,менеджер по работе с клиентами,NGL Energy Partners
111.0,52000,неполный рабочий день,92028,бренд-менеджер по продукции,Bayer AG
102.0,48000,неполный рабочий день,49100,социальный работник в школе,Deere
100.0,44000,полный рабочий день,29318,создатель контента,Mondelez International
95.0,44000,контракт,126630,Аналитик по доставке, 3M
121.0,52000,временный,48199,координатор по кадрам,KKR
113.0,49600, полный рабочий день,64351,юридический секретарь,NGL Energy Partners
108.0,51200,Стажер,118041,Семейная медсестра,EasyJet
98.0,46400,Стажер,40723,Стратег по работе с клиентами,Otis Worldwide
105.0,49600,Временная,127385, Бэкэнд разработчик, Oil Search
102.0,48000,Временная,28043,Координатор цепочки поставок,HCL Technologies
98.0,46400,Временная,81318,Координатор цепочки поставок,DTE Energy
102.0,47200,Контракт,105370,B2B Консультант по продажам,Associated British Foods
109.0,51200,неполный рабочий день,51537,инженер-строитель,Xcel Energy
107.0,50400,стажер,93670,аналитик центра управления безопасностью,Deutsche Post DHL Group
110.0,52000,стажер,56930, фронт-энд разработчик,Bodycote
93.0,44000,Стажер,64185,Специалист по планированию налогов,Old Republic International
111.0,52000,неполный рабочий день,101834,Координатор мероприятий,United Airlines Holdings
99.0,45600,контракт,130962,клинический психолог,Tenet Healthcare
113.0,52000,контракт,38044,инженер-электрик,Regions Financial
105.0,49600,Временная,27725,Дизайнер по освещению,CBRE Group
99.0,46400,неполный рабочий день,35273, Бизнес-аналитик,Отель Луна
102.0,48000,стажер,103693,контент-писатель,Corning
108.0,51200,временная,29884,дизайнер пользовательского интерфейса,Leidos Holdings
97.0,45600,неполный рабочий день,104700,персональный налоговый консультант,Divi's Laboratories
106.0,46400,полный рабочий день,47107,тестировщик автоматизированного оборудования, Tata Consumer Products
95.0,44800,стажер,61246, руководитель отдела продаж,Fannie Mae
